Linha (trip_id),Estação (stop_id),Sequência de parada (stop_sequence),Situação
10 - Santa Cruz -> Alvorada (Expresso),TERMINAL SANTA CRUZ,1,Operante
10 - Santa Cruz -> Alvorada (Expresso),GENERAL OLÍMPIO,2,Operante
10 - Santa Cruz -> Alvorada (Expresso),GASTÃO RANGEL,3,Operante
10 - Santa Cruz -> Alvorada (Expresso),CAJUEIROS,4,Inoperante
10 - Santa Cruz -> Alvorada (Expresso),CURRAL FALSO,5,Operante
10 - Santa Cruz -> Alvorada (Expresso),SANTA VERIDIANA,6,Operante
10 - Santa Cruz -> Alvorada (Expresso),VENDAS DE VARANDA,7,Inoperante
10 - Santa Cruz -> Alvorada (Expresso),PINGO D’ÁGUA,8,Operante
10 - Santa Cruz -> Alvorada (Expresso),MAGARÇA,9,Operante
10 - Santa Cruz -> Alvorada (Expresso),MATO ALTO,10,Operante
10 - Santa Cruz -> Alvorada (Expresso),RECREIO SHOPPING,11,Operante
10 - Santa Cruz -> Alvorada (Expresso),GLÁUCIO GIL,12,Operante
10 - Santa Cruz -> Alvorada (Expresso),SALVADOR ALLENDE,13,Operante
10 - Santa Cruz -> Alvorada (Expresso),TERMINAL ALVORADA,14,Operante
12 - Pingo D'água -> Alvorada (Expresso),PINGO D’ÁGUA,1,Operante
12 - Pingo D'água -> Alvorada (Expresso),MAGARÇA,2,Operante
12 - Pingo D'água -> Alvorada (Expresso),MATO ALTO,3,Operante
12 - Pingo D'água -> Alvorada (Expresso),RECREIO SHOPPING,4,Operante
12 - Pingo D'água -> Alvorada (Expresso),GLÁUCIO GIL,5,Operante
12 - Pingo D'água -> Alvorada (Expresso),SALVADOR ALLENDE,6,Operante
12 - Pingo D'água -> Alvorada (Expresso),TERMINAL ALVORADA,7,Operante
13 - Mato Alto -> Alvorada (Expresso),MATO ALTO,1,Operante
13 - Mato Alto -> Alvorada (Expresso),ILHA DE GUARATIBA,2,Operante
13 - Mato Alto -> Alvorada (Expresso),RECREIO SHOPPING,3,Operante
13 - Mato Alto -> Alvorada (Expresso),GLÁUCIO GIL,4,Operante
13 - Mato Alto -> Alvorada (Expresso),SALVADOR ALLENDE,5,Operante
13 - Mato Alto -> Alvorada (Expresso),TERMINAL ALVORADA,6,Operante
14 - Campo Grande -> Salvador Allende (SemiDireto),TERMINAL CAMPO GRANDE,1,Operante
14 - Campo Grande -> Salvador Allende (SemiDireto),SANTA EUGÊNIA,2,Operante
14 - Campo Grande -> Salvador Allende (SemiDireto),SALVADOR ALLENDE,3,Operante
15 - Pingo Dagua -> Recreio Shopping (Parador),PINGO D’ÁGUA,1,Operante
15 - Pingo Dagua -> Recreio Shopping (Parador),MAGARÇA,2,Operante
15 - Pingo Dagua -> Recreio Shopping (Parador),MATO ALTO,3,Operante
15 - Pingo Dagua -> Recreio Shopping (Parador),EMBRAPA,4,Inoperante
15 - Pingo Dagua -> Recreio Shopping (Parador),CTEX,5,Operante
15 - Pingo Dagua -> Recreio Shopping (Parador),ILHA DE GUARATIBA,6,Operante
15 - Pingo Dagua -> Recreio Shopping (Parador),PONTAL,7,Operante
15 - Pingo Dagua -> Recreio Shopping (Parador),DOM BOSCO,8,Inoperante
