stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,corridor,active
519148202000300,31 de Outubro,Avenida Cesário de Melo próximo ao 11270,-22.91825,-43.63906,1,,BRT Transoeste,0
519148202000371,31 de Outubro,Avenida Cesário de Melo próximo ao 11270,-22.91818,-43.63904,0,519148202000300,BRT Transoeste,0
519148202000372,31 de Outubro,Avenida Cesário de Melo próximo ao 11270,-22.91825,-43.63897,0,519148202000300,BRT Transoeste,0
424128203000200,Aeroporto de Jacarepaguá,Aeroporto de Jacarepaguá. S/N,-22.98903,-43.36581,1,,BRT Transcarioca,1
424128203000271,Aeroporto de Jacarepaguá,Aeroporto de Jacarepaguá. S/N,-22.98903,-43.36584,0,424128203000200,BRT Transcarioca,1
424128203000272,Aeroporto de Jacarepaguá,Aeroporto de Jacarepaguá. S/N,-22.98903,-43.36576,0,424128203000200,BRT Transcarioca,1
424128201001600,Afrânio Costa,Avenida das Américas próximo ao 1981,-23.00056,-43.33513,1,,BRT Transoeste,1
424128201001671,Afrânio Costa,Avenida das Américas próximo ao 1981,-23.00052,-43.33515,0,424128201001600,BRT Transoeste,1
424128201001672,Afrânio Costa,Avenida das Américas próximo ao 1981,-23.00055,-43.3351,0,424128201001600,BRT Transoeste,1
424128201000700,Américas Park,Avenida das Américas próximo ao 7606,-23.00042,-43.38979,1,,BRT Transoeste,1
424128201000771,Américas Park,Avenida das Américas próximo ao 7606,-23.00038,-43.38968,0,424128201000700,BRT Transoeste,1
424128201000772,Américas Park,Avenida das Américas próximo ao 7606,-23.00048,-43.38973,0,424128201000700,BRT Transoeste,1
518146202000200,Ana Gonzaga,Avenida Cesário de Melo próximo ao 6318,-22.91132,-43.58975,1,,BRT Transoeste,0
518146202000271,Ana Gonzaga,Avenida Cesário de Melo próximo ao 6318,-22.91126,-43.58972,0,518146202000200,BRT Transoeste,0
518146202000272,Ana Gonzaga,Avenida Cesário de Melo próximo ao 6318,-22.91135,-43.58968,0,518146202000200,BRT Transoeste,0
416122203000400,André Rocha,Estrada dos Bandeirantes próximo ao 643,-22.92949,-43.37343,1,,BRT Transcarioca,1
416122203000471,André Rocha,Estrada dos Bandeirantes próximo ao 643,-22.92948,-43.37347,0,416122203000400,BRT Transcarioca,1
416122203000472,André Rocha,Estrada dos Bandeirantes próximo ao 643,-22.92948,-43.37339,0,416122203000400,BRT Transcarioca,1
416122203000600,Aracy Cabral,Avenida Nelson Cardoso próximo ao 796,-22.92016,-43.36821,1,,BRT Transcarioca,1
416122203000671,Aracy Cabral,Avenida Nelson Cardoso próximo ao 796,-22.92012,-43.36822,0,416122203000600,BRT Transcarioca,1
416122203000672,Aracy Cabral,Avenida Nelson Cardoso próximo ao 796,-22.92018,-43.36815,0,416122203000600,BRT Transcarioca,1
416119203000300,Arroio Pavuna,Estrada dos Bandeirantes próximo ao 3917,-22.95527,-43.37735,1,,BRT Transcarioca,0
416119203000371,Arroio Pavuna,Estrada dos Bandeirantes próximo ao 3917,-22.95526,-43.3774,0,416119203000300,BRT Transcarioca,0
416119203000372,Arroio Pavuna,Estrada dos Bandeirantes próximo ao 3917,-22.9553,-43.37732,0,416119203000300,BRT Transcarioca,0
416115204000300,Asa Branca,Avenida Salvador Allende próximo ao 4811,-22.96325,-43.39379,1,,BRT Transolímpica,1
416115204000371,Asa Branca,Avenida Salvador Allende próximo ao 4811,-22.96315,-43.39376,0,416115204000300,BRT Transolímpica,1
416115204000372,Asa Branca,Avenida Salvador Allende próximo ao 4811,-22.9632,-43.39368,0,416115204000300,BRT Transolímpica,1
424128201001500,Barra Garden / Riviera,Avenida das Américas próximo ao 3201,-23.00026,-43.34202,1,,BRT Transoeste,1
424128201001571,Barra Garden / Riviera,Avenida das Américas próximo ao 3201,-23.00021,-43.34202,0,424128201001500,BRT Transoeste,1
424128201001572,Barra Garden / Riviera,Avenida das Américas próximo ao 3201,-23.0003,-43.3421,0,424128201001500,BRT Transoeste,1
424128201001200,Barra Shopping (Expresso),Avenida das Américas próximo ao 4485,-22.99997,-43.35993,1,,BRT Transoeste,0
424128201001281,Barra Shopping (Expresso),Avenida das Américas próximo ao 4485,-22.99991,-43.35982,0,424128201001200,BRT Transoeste,0
424128201001282,Barra Shopping (Expresso),Avenida das Américas próximo ao 4485,-23.00004,-43.35986,0,424128201001200,BRT Transoeste,0
424128201001100,Barra Shopping (Parador),Avenida das Américas próximo ao 4485,-22.99998,-43.36127,1,,BRT Transoeste,1
424128201001171,Barra Shopping (Parador),Avenida das Américas próximo ao 4485,-22.99993,-43.36131,0,424128201001100,BRT Transoeste,1
424128201001172,Barra Shopping (Parador),Avenida das Américas próximo ao 4485,-23.00002,-43.3613,0,424128201001100,BRT Transoeste,1
424132201000900,Benvindo de Novaes,Avenida das Américas próximo ao 15801,-23.01438,-43.46666,1,,BRT Transoeste,0
424132201000971,Benvindo de Novaes,Avenida das Américas próximo ao 15801,-23.01435,-43.46671,0,424132201000900,BRT Transoeste,0
424132201000972,Benvindo de Novaes,Avenida das Américas próximo ao 15801,-23.01443,-43.46668,0,424132201000900,BRT Transoeste,0
416122204000100,Boiúna,Corredor Presidente Tancredo Neves,-22.91567,-43.39808,1,,BRT Transolímpica,1
416122204000171,Boiúna,Corredor Presidente Tancredo Neves,-22.91569,-43.39812,0,416122204000100,BRT Transolímpica,1
416122204000172,Boiúna,Corredor Presidente Tancredo Neves,-22.91562,-43.39807,0,416122204000100,BRT Transolímpica,1
424128201000900,Bosque da Barra,Avenida das Américas próximo ao 205,-23.00032,-43.37748,1,,BRT Transoeste,1
424128201000971,Bosque da Barra,Avenida das Américas próximo ao 205,-23.00027,-43.37746,0,424128201000900,BRT Transoeste,1
424128201000972,Bosque da Barra,Avenida das Américas próximo ao 205,-23.00036,-43.37744,0,424128201000900,BRT Transoeste,1
424128201001800,Bosque Marapendi,Avenida das Américas próximo ao 909,-23.0035,-43.32349,1,,BRT Transoeste,1
424128201001871,Bosque Marapendi,Avenida das Américas próximo ao 909,-23.00327,-43.3239,0,424128201001800,BRT Transoeste,1
424128201001872,Bosque Marapendi,Avenida das Américas próximo ao 909,-23.00336,-43.32396,0,424128201001800,BRT Transoeste,1
424128201001881,Bosque Marapendi,Avenida das Américas próximo ao 909,-23.00365,-43.32298,0,424128201001800,BRT Transoeste,1
424128201001882,Bosque Marapendi,Avenida das Américas próximo ao 909,-23.00373,-43.32303,0,424128201001800,BRT Transoeste,1
519149201000400,Cajueiros,Rua Felipe Cardoso próximo ao 1859,-22.93082,-43.67352,1,,BRT Transoeste,0
519149201000471,Cajueiros,Rua Felipe Cardoso próximo ao 1859,-22.93083,-43.67346,0,519149201000400,BRT Transoeste,0
519149201000472,Cajueiros,Rua Felipe Cardoso próximo ao 1859,-22.93089,-43.67349,0,519149201000400,BRT Transoeste,0
315083203000100,Campinho,Rua Domingos Lopes próximo ao 111,-22.88219,-43.3419,1,,BRT Transcarioca,1
315083203000171,Campinho,Rua Domingos Lopes próximo ao 111,-22.88212,-43.34194,0,315083203000100,BRT Transcarioca,1
315083203000172,Campinho,Rua Domingos Lopes próximo ao 111,-22.88213,-43.34185,0,315083203000100,BRT Transcarioca,1
518144202000100,Campo Grande,Rua Aurélio de Figueiredo próximo ao 15,-22.90177,-43.55479,1,,BRT Transoeste,1
518144202000171,Campo Grande,Rua Aurélio de Figueiredo próximo ao 15,-22.90181,-43.55477,0,518144202000100,BRT Transoeste,1
518144202000172,Campo Grande,Rua Aurélio de Figueiredo próximo ao 15,-22.90172,-43.5548,0,518144202000100,BRT Transoeste,1
518144202000600,Cândido Magalhães,Avenida Cesário de Melo próximo ao 3280,-22.90769,-43.56407,1,,BRT Transoeste,0
518144202000672,Cândido Magalhães,Avenida Cesário de Melo próximo ao 3280,-22.90772,-43.56404,0,518144202000600,BRT Transoeste,0
416124203000300,Capitão Menezes,Rua Cândido Benício próximo ao 1164,-22.89289,-43.34862,1,,BRT Transcarioca,1
416124203000371,Capitão Menezes,Rua Cândido Benício próximo ao 1164,-22.89288,-43.34866,0,416124203000300,BRT Transcarioca,1
416124203000372,Capitão Menezes,Rua Cândido Benício próximo ao 1164,-22.89291,-43.34858,0,416124203000300,BRT Transcarioca,1
310041203000100,Cardoso de Moraes,Rua Emílio Zaluar próximo ao 3,-22.85743,-43.25809,1,,BRT Transcarioca,0
310041203000172,Cardoso de Moraes,Rua Emílio Zaluar próximo ao 3,-22.85749,-43.25809,0,310041203000100,BRT Transcarioca,0
310041203000171,Cardoso Moraes,Rua Emílio Zaluar próximo ao 3,-22.85739,-43.25807,0,310041203000100,BRT Transcarioca,0
